trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.9, 'e': 0.7431629013079668}",25,0,-111.99816640382753,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
82,False,"{'a': 0.9, 'e': 0.7406068829041271}",25,0,-80.6844147966678,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
83,False,"{'a': 0.9, 'e': 0.7380640285306032}",25,0,-178.74083951131945,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
84,False,"{'a': 0.9, 'e': 0.7355342479456529}",25,0,-154.6675860022992,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
85,False,"{'a': 0.9, 'e': 0.7330174516794896}",25,0,-159.19877085344808,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
86,False,"{'a': 0.9, 'e': 0.7305135510263716}",20,0,-20.082698931839793,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.9, 'e': 0.7280224580367856}",25,1,-90.08329240345515,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 1}",1
88,False,"{'a': 0.9, 'e': 0.7255440855097238}",25,0,-73.90092458263588,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
89,False,"{'a': 0.9, 'e': 0.7230783469850527}",20,0,-86.24137962167153,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
90,False,"{'a': 0.9, 'e': 0.7206251567359716}",30,3,-199.79845239782028,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 4}",1
91,False,"{'a': 0.9, 'e': 0.7181844297615628}",25,2,-80.91086596606372,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
92,False,"{'a': 0.9, 'e': 0.715756081779427}",20,0,-86.89511371211654,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.9, 'e': 0.7133400292184077}",35,15,-128.93718313221981,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",1
94,False,"{'a': 0.9, 'e': 0.7109361892114011}",30,0,-70.83136648660162,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
95,False,"{'a': 0.9, 'e': 0.7085444795882506}",20,0,-52.16133896801996,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
96,False,"{'a': 0.9, 'e': 0.706164818868724}",20,0,-188.20870104366313,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
97,False,"{'a': 0.9, 'e': 0.7037971262555741}",20,0,-22.178624021664852,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
98,False,"{'a': 0.9, 'e': 0.7014413216276806}",25,6,-102.12006376127579,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
99,False,"{'a': 0.9, 'e': 0.6990973255332715}",20,0,-7.477408401441822,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
100,False,"{'a': 0.9, 'e': 0.6967650591832242}",20,0,-60.79902662995228,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.9, 'e': 0.6944444444444444}",25,0,-153.2179147661451,"{0: 14, 1: 0, 2: 7, 3: 3, 4: 1}",0
102,False,"{'a': 0.9, 'e': 0.6921354038333227}",25,0,-9.609898866564306,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
103,False,"{'a': 0.9, 'e': 0.689837860509266}",20,8,-68.66528371264882,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
104,False,"{'a': 0.9, 'e': 0.6875517382683047}",20,0,-141.46971050650183,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
